Sector,Job role,Employment type,Gender,Age group,Remote work,Work hours increase (%),Productivity change (%),Stress level (1-10),"Job satisfaction (-5,5)",Income change (%),Tech tools use increase (%),Health impact (1-10),"Family work balance impact (-5,5)",Company support level (1-10),"Job satisfaction (-5,5))",Productivity change (%
finance,intern,self-employed,other,35-44,always,6.66,6.32,9.0,-5.0,-2.96,43.71,2.0,5.0,5.0,,6.32%
healthcare,freelancer,self-employed,other,35-44,always,40.7,16.52,2.0,1.5,-12.9,37.67,2.0,3.0,3.0,,16.52%
finance,intern,unemployed,male,45-54,rarely,-0.12,-13.87,1.0,4.0,4.18,29.21,2.0,4.0,5.0,,-13.87%
finance,manager,self-employed,female,55+,occasionally,3.95,-2.22,2.0,-1.5,1.87,38.08,9.0,-3.0,4.0,,-2.22%
healthcare,freelancer,self-employed,male,25-34,never,39.87,-24.67,7.0,3.0,2.23,21.16,5.0,-4.0,1.0,,-24.67%
finance,manager,part-time,male,18-24,often,-2.48,-3.0,10.0,0.5,11.45,37.29,8.0,-2.0,9.0,,
retail,staff,self-employed,male,55+,always,1.75,1.01,6.0,3.5,6.26,37.5,5.0,-1.0,10.0,,1.01%
education,freelancer,unemployed,female,45-54,always,7.79,10.18,4.0,-0.5,-6.57,26.63,5.0,-4.0,4.0,,10.18%
other,staff,part-time,other,18-24,occasionally,22.61,4.74,1.0,3.0,-5.01,28.26,1.0,-5.0,3.0,,4.74%
education,freelancer,unemployed,other,35-44,occasionally,13.12,-39.49,1.0,4.0,1.01,23.23,6.0,4.0,6.0,,-39.49%
healthcare,executive,self-employed,other,25-34,rarely,-9.39,-9.52,5.0,-3.0,-3.64,18.26,5.4,5.0,1.0,,-9.52%
technology,intern,unemployed,female,35-44,often,2.02,-44.87,1.0,-2.0,2.05,39.34,3.0,-1.0,5.0,,-44.87%
other,executive,part-time,other,45-54,often,0.89,23.89,7.0,-5.0,-27.3,49.52,6.0,3.0,7.0,,23.89%
healthcare,staff,full-time,female,18-24,occasionally,8.84,-22.22,1.0,1.0,13.81,13.07,2.0,-1.0,2.0,,-22.22%
technology,intern,unemployed,other,45-54,never,16.39,24.61,1.0,-3.0,-4.39,9.15,8.0,5.0,10.0,,24.61%
education,freelancer,unemployed,other,18-24,often,16.27,17.92,2.0,-2.5,-21.22,31.36,1.0,4.0,9.0,,17.92%
healthcare,intern,part-time,male,55+,occasionally,-16.64,-23.01,10.0,0.5,-14.14,23.59,9.0,3.0,6.0,,-23.01%
other,manager,part-time,female,25-34,occasionally,25.96,-24.16,3.0,2.0,-26.29,33.17,8.0,4.0,2.0,,-24.16%
other,intern,unemployed,male,55+,rarely,13.79,6.51,1.0,2.0,-15.9,12.56,1.0,0.0,8.0,,6.51%
manufacturing,manager,self-employed,male,55+,often,30.77,-21.39,9.0,1.0,-6.42,44.59,10.0,-3.0,8.0,,-21.39%
retail,intern,unemployed,male,45-54,always,16.66,-2.95,10.0,-1.5,10.15,39.56,9.0,-2.0,1.0,,-2.95%
finance,manager,part-time,female,25-34,occasionally,26.52,-13.66,8.0,3.5,-0.89,26.59,2.0,-2.0,1.0,,-13.66%
technology,staff,full-time,female,18-24,always,17.0,-38.12,5.0,-1.0,-2.67,39.86,3.0,-5.0,1.0,,-38.12%
manufacturing,executive,full-time,male,18-24,occasionally,30.19,-45.61,2.0,4.5,-16.35,25.82,2.0,-3.0,4.0,,-45.61%
finance,freelancer,self-employed,male,35-44,always,17.83,2.03,5.0,0.0,-13.24,19.69,8.0,-3.0,4.0,,2.03%
finance,intern,unemployed,other,18-24,often,8.53,-14.23,6.0,-0.5,-12.47,35.12,2.0,-5.0,8.0,,-14.23%
healthcare,executive,full-time,male,45-54,rarely,44.09,-11.56,1.0,7.0,-12.06,21.79,10.0,3.0,1.0,-0.2,-11.56%
finance,freelancer,unemployed,female,55+,often,23.34,11.92,4.0,-1.5,-8.52,25.46,2.0,5.0,10.0,,11.92%
retail,freelancer,part-time,female,55+,never,18.61,18.97,9.0,-0.2,-7.76,30.97,1.0,-5.0,3.0,,18.97%
other,manager,full-time,female,55+,rarely,9.41,-6.45,2.0,0.5,-8.39,31.69,7.0,3.0,1.0,,-6.45%
manufacturing,staff,self-employed,male,25-34,often,-9.32,-9.31,5.0,5.0,-11.71,59.39,2.0,-5.0,9.0,-0.2,-9.31%
finance,staff,part-time,female,18-24,never,14.39,9.5,1.0,5.0,-3.65,28.35,10.0,-4.0,10.0,-0.2,9.50%
healthcare,executive,self-employed,male,45-54,occasionally,12.18,-29.14,4.0,2.5,-8.14,23.57,5.0,-4.0,9.0,,-29.14%
retail,staff,part-time,other,25-34,occasionally,0.79,2.46,4.0,2.5,-20.96,20.94,5.0,0.0,7.0,,2.46%
education,intern,full-time,male,35-44,always,12.11,8.04,6.0,-1.5,-4.66,35.06,3.0,1.0,8.0,,8.04%
other,staff,self-employed,other,45-54,rarely,33.83,8.6,10.0,0.5,-6.17,18.33,3.0,5.0,1.0,,8.60%
other,executive,self-employed,male,45-54,occasionally,20.43,-43.24,9.0,-5.0,-20.8,31.09,3.0,-5.0,5.0,,-43.24%
manufacturing,staff,part-time,other,45-54,rarely,-7.12,-16.73,3.0,-2.0,-10.91,9.61,6.0,-3.0,2.0,,-16.73%
other,intern,self-employed,female,55+,occasionally,8.33,-22.07,9.0,-0.2,0.97,36.47,4.0,-4.0,1.0,,-22.07%
finance,manager,full-time,other,45-54,always,-2.07,-1.0,6.0,2.5,-16.36,40.91,3.0,2.0,3.0,,-1%
healthcare,executive,part-time,female,18-24,often,4.18,6.11,7.0,-1.0,-17.42,40.32,2.0,3.0,7.0,,6.11%
other,freelancer,part-time,female,45-54,always,3.8,24.93,10.0,-0.2,-8.25,28.56,3.0,-4.0,1.0,,24.93%
other,freelancer,part-time,other,55+,never,2.84,-10.9,2.0,3.5,1.23,22.47,4.0,-4.0,2.0,,-10.90%
education,manager,full-time,male,45-54,occasionally,-8.83,-14.95,10.0,0.5,13.1,42.99,6.0,4.0,2.0,,-14.95%
education,freelancer,part-time,male,35-44,never,8.09,19.99,6.0,2.5,1.59,11.39,4.0,3.0,4.0,,19.99%
technology,freelancer,unemployed,male,35-44,never,1.59,2.93,6.0,-4.5,5.85,11.12,8.0,-2.0,3.0,,2.93%
retail,manager,self-employed,male,55+,rarely,-33.94,24.35,2.0,-2.5,-1.53,32.12,3.0,-1.0,3.0,,24.35%
finance,executive,unemployed,male,18-24,occasionally,40.79,4.77,2.0,2.5,-11.85,20.31,3.0,5.0,10.0,,4.77%
other,intern,full-time,female,18-24,never,26.33,-24.14,2.0,6.5,1.52,17.67,3.0,3.0,5.0,-0.2,-24.14%
other,intern,unemployed,male,25-34,often,4.36,-31.66,10.0,-4.5,-5.86,49.76,8.0,0.0,3.0,,-31.66%
healthcare,staff,full-time,female,55+,never,10.28,-31.53,1.0,-3.0,-1.23,11.26,4.0,4.0,7.0,,-31.53%
technology,executive,unemployed,female,45-54,often,-7.57,10.74,5.0,2.0,-14.46,50.44,1.0,3.0,5.0,,10.74%
retail,freelancer,full-time,female,55+,rarely,35.44,19.77,8.0,-0.2,-0.34,21.64,2.0,3.0,4.0,,19.77%
technology,manager,part-time,other,25-34,never,38.46,35.99,2.0,-1.5,-6.21,8.79,10.0,1.0,3.0,,35.99%
manufacturing,staff,unemployed,other,55+,always,12.35,14.36,5.0,-1.0,-2.69,46.04,2.0,4.0,4.0,,14.36%
retail,intern,full-time,female,55+,rarely,25.35,19.26,8.0,-4.5,-5.85,26.08,3.0,3.0,2.0,,19.26%
other,freelancer,full-time,other,18-24,often,12.63,-16.6,10.0,-1.5,-7.77,35.13,6.0,-1.0,1.0,,-16.60%
other,freelancer,self-employed,male,18-24,rarely,-10.05,-25.63,5.0,1.0,-0.15,17.31,8.0,-1.0,3.0,,-25.63%
retail,manager,self-employed,male,45-54,never,3.82,16.0,2.0,-2.5,-9.06,21.0,1.0,2.0,2.0,,16%
other,intern,unemployed,female,25-34,occasionally,11.98,6.85,3.0,2.0,-20.89,9.32,9.0,4.0,1.0,,6.85%
finance,executive,part-time,male,35-44,occasionally,9.41,-0.85,6.0,4.5,-23.74,32.19,1.0,-2.0,1.0,,-0.85%
retail,freelancer,full-time,female,18-24,often,6.72,5.25,5.0,0.0,-3.16,47.97,10.0,3.0,2.0,,5.25%
technology,manager,unemployed,female,35-44,often,8.63,4.46,4.0,4.5,-9.47,17.35,2.0,1.0,9.0,,4.46%
retail,executive,full-time,male,18-24,occasionally,8.79,23.68,4.0,3.5,-22.29,25.93,3.0,1.0,5.0,,23.68%
other,intern,full-time,other,45-54,often,10.78,23.4,5.0,3.0,-3.93,26.25,7.0,-3.0,9.0,,23.40%
finance,freelancer,part-time,male,45-54,rarely,-5.91,9.88,2.0,-2.5,-5.94,9.89,9.0,-2.0,8.0,,9.88%
finance,executive,part-time,male,55+,always,-0.76,12.42,9.0,-1.0,-10.0,19.47,3.0,1.0,6.0,,12.42%
manufacturing,executive,unemployed,female,35-44,always,-9.27,9.28,2.0,0.5,-2.53,28.19,8.0,5.0,1.0,,9.28%
technology,executive,part-time,female,18-24,rarely,24.67,-14.22,10.0,-2.5,8.15,22.58,9.0,5.0,10.0,,-14.22%
education,freelancer,part-time,female,45-54,always,-21.58,14.13,2.0,-3.5,7.85,51.49,10.0,-1.0,5.0,,14.13%
education,freelancer,unemployed,female,25-34,never,27.3,-32.89,10.0,-1.5,-3.56,4.77,7.0,-3.0,1.0,,-32.89%
retail,staff,part-time,other,45-54,rarely,30.8,16.58,9.0,-2.0,-5.85,27.94,4.0,-5.0,7.0,,16.58%
manufacturing,intern,self-employed,other,25-34,often,5.47,-25.39,3.0,-1.0,-3.42,37.2,4.0,1.0,10.0,,-25.39%
healthcare,manager,full-time,other,18-24,rarely,-29.05,0.72,10.0,-0.2,-1.91,41.72,4.0,0.0,8.0,,0.72%
retail,executive,full-time,female,45-54,occasionally,4.58,-20.4,7.0,0.3,-7.68,35.71,6.0,4.0,8.0,,-20.40%
manufacturing,freelancer,full-time,female,45-54,often,9.04,9.07,4.0,-1.5,-3.25,41.29,4.0,1.0,7.0,,9.07%
technology,manager,full-time,female,18-24,occasionally,-5.16,-3.68,6.0,-4.5,-20.74,36.99,5.0,-4.0,2.0,,-3.68%
technology,staff,unemployed,other,45-54,often,2.27,-33.9,4.0,2.5,-4.19,25.76,9.0,-2.0,5.0,,-33.90%
technology,freelancer,full-time,female,25-34,always,32.95,3.41,10.0,-0.2,-0.23,34.27,7.0,-4.0,4.0,,3.41%
technology,executive,full-time,male,45-54,rarely,19.97,-15.06,7.0,-2.0,-9.9,36.17,8.0,2.0,5.0,,-15.06%
technology,manager,full-time,male,35-44,never,-3.87,17.12,1.0,7.0,-5.95,-0.51,5.0,1.0,10.0,-0.2,17.12%
manufacturing,manager,full-time,female,55+,often,-13.96,-1.47,3.0,1.0,-16.12,28.18,5.0,-5.0,9.0,,-1.47%
